Entity;Code;Year;Government expenditure on education, total (% of GDP);Primary adjusted enrolment ratio (Lee-Lee (2016));Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018));Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates;Mean years of schooling, women (in reproductive age 15 to 49) (Our World In Data (2017));Population (historical estimates);Continent;Literacy rate, adult total (% of people ages 15 and above);;;
Guyana;GUY;1985;;91,1;6,31;6,6338797;7,021538;772680;South America;;;;
Guyana;GUY;1990;;99;6,77;6,04246;7,545926;747124;South America;;;;
Haiti;HTI;1950;;30,6;0,56;36,9059;0,4615714;3247240;North America;;;;
Haiti;HTI;1955;;38,2;0,59;31,90809;0,5110248;3546005;North America;;;;
Haiti;HTI;1960;;22,7;0,66;29,038761;0,5938295;3901147;North America;;;;
Haiti;HTI;1965;;24,6;0,77;26,790121;0,7052655;4274354;North America;;;;
Haiti;HTI;1970;;24,6;0,9;24,37799;0,9002113;4680817;North America;;;;
Haiti;HTI;1975;;29,6;1,17;21,6907;1,204787;5124563;North America;;;;
Haiti;HTI;1980;;33;1,44;19,10845;1,625479;5646680;North America;;;;
Haiti;HTI;1990;;26;2,69;14,52099;2,505456;6925335;North America;;;;
Haiti;HTI;1995;;26;3,2;12,40372;3,023676;7627320;North America;;;;
Haiti;HTI;2000;;97,4;3,8;10,39985;3,378722;8360224;North America;;;;
Haiti;HTI;2005;;98,4;4,3;8,94765;3,920118;9111901;North America;;;;
Haiti;HTI;2010;;99,1;4,7;13,27062;4,320821;9842883;North America;;;;
Honduras;HND;1950;;30,8;1,61;27,357708;1,452053;1557940;North America;;;;
Honduras;HND;1955;;44,8;1,67;25,037449;1,546224;1796536;North America;;;;
Honduras;HND;1960;;58;1,7;21,15105;1,718555;2078624;North America;;;;
Honduras;HND;1965;;68;1,73;17,75095;1,896416;2403468;North America;;;;
Honduras;HND;1970;;73,1;1,91;14,66453;2,137787;2782756;North America;;;;
Honduras;HND;1975;;73;2,08;11,88159;2,505583;3231637;North America;;;;
Honduras;HND;1985;;87;3,71;7,3960505;4,558878;4387696;North America;;;;
Honduras;HND;1990;;93;4,27;5,80225;5,096798;5053235;North America;;;;
Honduras;HND;2000;;97,4;4,3;3,6990502;5,90743;6656727;North America;;;;
Honduras;HND;2005;;100;4,7;2,9369;6,336778;7564615;North America;;;;
Hong Kong;HKG;1950;;35,9;3,76;9,471769;2,985651;1980530;Asia;;;;
Hong Kong;HKG;1955;;29,4;3,97;7,68983;3,534918;2490495;Asia;;;;
Hong Kong;HKG;1960;;59;4,43;5,38659;4,122321;3114676;Asia;;;;
Hong Kong;HKG;1965;;81;4,74;3,63134;4,977974;3602032;Asia;;;;
Hong Kong;HKG;1970;;87;5,15;2,55318;5,742815;3955076;Asia;;;;
Hong Kong;HKG;1995;;94,1;8,8;0,55061996;10,81197;6243859;Asia;;;;
Hong Kong;HKG;2000;;97,1;8,8;0,41456;11,10498;6731195;Asia;;;;
Hungary;HUN;1950;;99,4;6,95;9,85425;7,14061;9337718;Europe;;;;
Hungary;HUN;1955;;93,4;7,12;6,5224404;7,337166;9823339;Europe;;;;
Hungary;HUN;1960;;99;7,26;5,30113;7,588036;9982618;Europe;;;;
Hungary;HUN;1965;;97;7,42;4,40558;7,864261;10140858;Europe;;;;
Hungary;HUN;1970;;94;7,82;3,9308898;8,486048;10315367;Europe;;;;
Hungary;HUN;1975;;96,4;8,24;3,5477402;8,993397;10520241;Europe;;;;
Hungary;HUN;1980;;95;8,69;2,4425101;9,478871;10698682;Europe;98,85829163;;;
Hungary;HUN;1985;;97;8,81;2,29643;9,75489;10542756;Europe;;;;
Hungary;HUN;1990;;87;8,68;1,7004;9,94243;10375989;Europe;;;;
Iceland;ISL;1950;;95,7;5,4;2,41123;5,774844;142666;Europe;;;;
Iceland;ISL;1955;;100;5,64;2,05145;6,041607;157742;Europe;;;;
Iceland;ISL;1960;;100;5,82;1,7337799;6,418652;175583;Europe;;;;
Iceland;ISL;1965;;97;6,14;1,7656901;6,922973;192322;Europe;;;;
Iceland;ISL;1970;;96;6,51;1,64805;7,470676;204483;Europe;;;;
Iceland;ISL;1975;;99;6,95;1,44101;8,071338;218080;Europe;;;;
Iceland;ISL;1980;;98;7,47;1,13096;8,612264;228276;Europe;;;;
Iceland;ISL;1985;;97;7,96;1,01009;9,236897;241589;Europe;;;;
India;IND;1950;;32,7;0,92;28,369259;0,4127832;357021120;Asia;;;;
India;IND;1955;;40,9;0,99;26,30624;0,4541131;398577984;Asia;;;;
India;IND;1960;;47,6;0,94;24,2541;0,5280578;445954560;Asia;;;;
India;IND;1965;;57,8;1,15;24,101421;0,6620196;500114336;Asia;;;;
India;IND;1970;;57;1,24;21,34997;0,8467128;557501312;Asia;;;;
India;IND;1975;;61,7;1,52;19,453571;1,12679;623524224;Asia;;;;
India;IND;1980;;63,2;1,87;16,8056;1,452194;696828352;Asia;;;;
India;IND;1985;;75;2,39;14,55985;1,920461;780242112;Asia;;;;
India;IND;1990;;76,5;2,96;12,61486;2,46447;870452160;Asia;;;;
India;IND;1995;;96;3,5;10,93211;2,939184;964279104;Asia;;;;
Indonesia;IDN;1950;;42,7;0,74;30,4806;0,6073321;69567624;Asia;;;;
Indonesia;IDN;1955;;57,5;0,91;26,506351;0,7382404;77741512;Asia;;;;
Indonesia;IDN;1960;;59,4;1,11;22,72615;1,005669;88382888;Asia;;;;
Indonesia;IDN;1965;;60,3;1,62;22,63823;1,546901;101157872;Asia;;;;
Indonesia;IDN;1970;;67;2,26;16,728489;2,231419;115228392;Asia;;;;
Indonesia;IDN;1975;;72;2,58;14,1374;2,707027;131213216;Asia;;;;
Indonesia;IDN;1980;;88;3,09;12,05789;3,218478;148177104;Asia;67,31266785;;;
Indonesia;IDN;1985;;99;3,23;10,19749;3,462269;165791696;Asia;;;;
Indonesia;IDN;1990;;98;3,28;8,351931;3,847826;182159888;Asia;81,51985168;;;
Indonesia;IDN;2000;;100;6,7;5,207;5,033978;214072416;Asia;;;;
Iran;IRN;1950;;24,2;0,34;33,26518;0,2982969;16832842;Asia;;;;
Iran;IRN;1955;;26,2;0,46;30,343079;0,3675796;18873866;Asia;;;;
Iran;IRN;1960;;34;0,6;26,993341;0,5637187;21388810;Asia;;;;
Iran;IRN;1965;;38,3;0,85;23,699749;0,861163;24667028;Asia;;;;
Iran;IRN;1970;;60;1,17;19,98031;1,272408;28449702;Asia;;;;
Iran;IRN;1980;;73,7;2,3;10,95253;2,648877;38520668;Asia;;;;
Iraq;IRQ;1950;;20,5;0,18;35,65181;0,0917654;5656483;Asia;;;;
Iraq;IRQ;1955;;30;0,21;26,064621;0,1424744;6405692;Asia;;;;
Iraq;IRQ;1960;;48;0,32;19,121809;0,2151608;7084683;Asia;;;;
